Id,Label
6001,0
6002,3
6003,4
6004,1
6005,6
6006,7
6007,5
6008,9
6009,8
6010,8
6011,1
6012,9
6013,8
6014,3
6015,9
6016,9
6017,4
6018,4
6019,2
6020,9
6021,3
6022,5
6023,4
6024,6
6025,1
6026,8
6027,7
6028,4
6029,2
6030,6
6031,8
6032,1
6033,3
6034,6
6035,6
6036,3
6037,6
6038,1
6039,6
6040,3
6041,1
6042,6
6043,4
6044,7
6045,1
6046,5
6047,2
6048,9
6049,5
6050,0
6051,4
6052,8
6053,4
6054,7
6055,0
6056,3
6057,2
6058,3
6059,8
6060,5
6061,5
6062,7
6063,9
6064,4
6065,4
6066,1
6067,3
6068,4
6069,7
6070,2
6071,4
6072,2
6073,6
6074,3
6075,0
6076,3
6077,7
6078,5
6079,4
6080,8
6081,3
6082,9
6083,7
6084,3
6085,1
6086,0
6087,0
6088,7
6089,2
6090,8
6091,6
6092,2
6093,5
6094,2
6095,5
6096,9
6097,5
6098,3
6099,9
6100,9
6101,7
6102,9
6103,6
6104,1
6105,3
6106,1
6107,6
6108,2
6109,3
6110,0
6111,2
6112,1
6113,9
6114,9
6115,4
6116,7
6117,2
6118,6
6119,3
6120,4
6121,5
6122,9
6123,2
6124,7
6125,8
6126,1
6127,6
6128,2
6129,0
6130,2
6131,4
6132,4
6133,4
6134,1
6135,1
6136,0
6137,3
6138,5
6139,6
6140,7
6141,5
6142,5
6143,9
6144,4
6145,9
6146,6
6147,3
6148,2
6149,6
6150,7
6151,1
6152,2
6153,7
6154,6
6155,8
6156,7
6157,2
6158,9
6159,1
6160,5
6161,9
6162,2
6163,8
6164,4
6165,8
6166,7
6167,8
6168,8
6169,7
6170,4
6171,7
6172,0
6173,8
6174,2
6175,0
6176,4
6177,9
6178,7
6179,1
6180,2
6181,7
6182,8
6183,7
6184,1
6185,2
6186,9
6187,1
6188,2
6189,7
6190,2
6191,7
6192,6
6193,1
6194,9
6195,1
6196,4
6197,5
6198,3
6199,9
6200,8
6201,3
6202,1
6203,0
6204,2
6205,1
6206,1
6207,3
6208,2
6209,3
6210,9
6211,5
6212,5
6213,2
6214,3
6215,4
6216,9
6217,1
6218,6
6219,5
6220,3
6221,3
6222,4
6223,8
6224,5
6225,3
6226,1
6227,2
6228,5
6229,6
6230,7
6231,4
6232,1
6233,2
6234,2
6235,4
6236,9
6237,4
6238,4
6239,4
6240,2
6241,3
6242,5
6243,4
6244,4
6245,3
6246,4
6247,6
6248,8
6249,0
6250,7
6251,5
6252,2
6253,5
6254,9
6255,0
6256,5
6257,2
6258,8
6259,5
6260,2
6261,8
6262,3
6263,7
6264,0
6265,3
6266,2
6267,9
6268,0
6269,4
6270,2
6271,6
6272,5
6273,9
6274,3
6275,1
6276,6
6277,3
6278,7
6279,4
6280,7
6281,2
6282,9
6283,1
6284,8
6285,4
6286,8
6287,4
6288,6
6289,7
6290,7
6291,2
6292,9
6293,5
6294,0
6295,3
6296,3
6297,3
6298,5
6299,9
6300,0
6301,9
6302,0
6303,9
6304,3
6305,8
6306,8
6307,3
6308,1
6309,0
6310,3
6311,9
6312,3
6313,4
6314,2
6315,5
6316,4
6317,7
6318,9
6319,0
6320,2
6321,2
6322,6
6323,4
6324,5
6325,7
6326,3
6327,0
6328,6
6329,7
6330,5
6331,3
6332,1
6333,0
6334,5
6335,6
6336,5
6337,4
6338,5
6339,4
6340,2
6341,4
6342,7
6343,4
6344,7
6345,6
6346,8
6347,2
6348,5
6349,3
6350,5
6351,1
6352,5
6353,8
6354,1
6355,5
6356,4
6357,9
6358,3
6359,9
6360,7
6361,1
6362,5
6363,3
6364,2
6365,0
6366,7
6367,8
6368,3
6369,7
6370,7
6371,8
6372,9
6373,4
6374,0
6375,9
6376,8
6377,8
6378,2
6379,5
6380,0
6381,9
6382,7
6383,2
6384,5
6385,1
6386,5
6387,5
6388,0
6389,5
6390,1
6391,2
6392,8
6393,6
6394,3
6395,2
6396,6
6397,3
6398,5
6399,1
6400,5
6401,8
6402,6
6403,2
6404,1
6405,5
6406,3
6407,8
6408,4
6409,9
6410,3
6411,9
6412,8
6413,5
6414,2
6415,1
6416,1
6417,2
6418,8
6419,9
6420,7
6421,8
6422,8
6423,0
6424,4
6425,5
6426,5
6427,0
6428,4
6429,4
6430,5
6431,8
6432,6
6433,4
6434,2
6435,9
6436,6
6437,7
6438,7
6439,6
6440,2
6441,8
6442,4
6443,3
6444,5
6445,3
6446,7
6447,3
6448,4
6449,9
6450,6
6451,7
6452,7
6453,7
6454,6
6455,0
6456,4
6457,6
6458,2
6459,1
6460,3
6461,5
6462,5
6463,3
6464,2
6465,8
6466,8
6467,4
6468,1
6469,8
6470,7
6471,5
6472,5
6473,1
6474,7
6475,7
6476,8
6477,9
6478,7
6479,9
6480,8
6481,5
6482,9
6483,8
6484,1
6485,8
6486,0
6487,9
6488,5
6489,0
6490,4
6491,5
6492,2
6493,5
6494,4
6495,2
6496,8
6497,7
6498,0
6499,9
6500,3
6501,8
6502,4
6503,1
6504,2
6505,5
6506,8
6507,9
6508,0
6509,7
6510,4
6511,5
6512,7
6513,2
6514,7
6515,3
6516,1
6517,7
6518,0
6519,9
6520,3
6521,7
6522,2
6523,1
6524,4
6525,5
6526,4
6527,7
6528,6
6529,6
6530,8
6531,9
6532,9
6533,5
6534,7
6535,5
6536,4
6537,0
6538,2
6539,4
6540,7
6541,8
6542,3
6543,4
6544,8
6545,4
6546,7
6547,2
6548,7
6549,0
6550,3
6551,7
6552,8
6553,6
6554,3
6555,3
6556,9
6557,8
6558,1
6559,3
6560,1
6561,7
6562,1
6563,3
6564,0
6565,8
6566,6
6567,7
6568,7
6569,4
6570,1
6571,7
6572,3
6573,5
6574,2
6575,1
6576,5
6577,4
6578,8
6579,6
6580,3
6581,5
6582,6
6583,3
6584,2
6585,5
6586,0
6587,7
6588,8
6589,5
6590,3
6591,5
6592,7
6593,7
6594,1
6595,6
6596,0
6597,7
6598,7
6599,5
6600,8
6601,6
6602,4
6603,8
6604,8
6605,9
6606,8
6607,3
6608,6
6609,5
6610,2
6611,5
6612,3
6613,0
6614,9
6615,3
6616,2
6617,4
6618,6
6619,3
6620,1
6621,8
6622,6
6623,7
6624,2
6625,7
6626,9
6627,4
6628,4
6629,7
6630,4
6631,1
6632,6
6633,1
6634,8
6635,1
6636,0
6637,7
6638,6
6639,2
6640,5
6641,3
6642,4
6643,6
6644,3
6645,1
6646,4
6647,9
6648,9
6649,8
6650,0
6651,4
6652,6
6653,9
6654,5
6655,0
6656,7
6657,9
6658,9
6659,3
6660,7
6661,9
6662,5
6663,8
6664,7
6665,4
6666,6
6667,3
6668,1
6669,4
6670,8
6671,5
6672,0
6673,0
6674,3
6675,3
6676,1
6677,7
6678,7
6679,9
6680,2
6681,4
6682,5
6683,8
6684,0
6685,3
6686,6
6687,6
6688,5
6689,7
6690,1
6691,3
6692,3
6693,8
6694,9
6695,9
6696,1
6697,0
6698,1
6699,5
6700,7
6701,7
6702,8
6703,0
6704,6
6705,9
6706,5
6707,7
6708,5
6709,1
6710,3
6711,5
6712,6
6713,2
6714,4
6715,9
6716,5
6717,5
6718,4
6719,4
6720,1
6721,0
6722,7
6723,3
6724,7
6725,2
6726,7
6727,3
6728,4
6729,7
6730,5
6731,6
6732,8
6733,7
6734,2
6735,0
6736,4
6737,0
6738,8
6739,8
6740,4
6741,9
6742,9
6743,1
6744,0
6745,8
6746,6
6747,1
6748,7
6749,5
6750,1
6751,8
6752,8
6753,0
6754,2
6755,1
6756,7
6757,6
6758,0
6759,4
6760,8
6761,2
6762,3
6763,0
6764,2
6765,5
6766,9
6767,7
6768,1
6769,5
6770,3
6771,8
6772,8
6773,8
6774,9
6775,7
6776,5
6777,4
6778,8
6779,5
6780,2
6781,0
6782,3
6783,1
6784,6
6785,2
6786,3
6787,9
6788,9
6789,4
6790,7
6791,0
6792,9
6793,2
6794,6
6795,2
6796,4
6797,2
6798,8
6799,3
6800,3
6801,3
6802,6
6803,7
6804,9
6805,2
6806,2
6807,0
6808,2
6809,4
6810,3
6811,5
6812,5
6813,9
6814,1
6815,6
6816,1
6817,3
6818,2
6819,3
6820,0
6821,5
6822,3
6823,5
6824,4
6825,2
6826,8
6827,7
6828,8
6829,9
6830,2
6831,2
6832,2
6833,0
6834,8
6835,6
6836,9
6837,2
6838,8
6839,2
6840,8
6841,6
6842,6
6843,0
6844,8
6845,8
6846,5
6847,4
6848,0
6849,1
6850,0
6851,2
6852,5
6853,3
6854,1
6855,1
6856,5
6857,4
6858,2
6859,8
6860,2
6861,5
6862,6
6863,5
6864,1
6865,6
6866,8
6867,3
6868,4
6869,4
6870,0
6871,2
6872,1
6873,8
6874,3
6875,5
6876,7
6877,2
6878,6
6879,8
6880,8
6881,4
6882,3
6883,7
6884,3
6885,5
6886,7
6887,1
6888,1
6889,3
6890,2
6891,9
6892,5
6893,2
6894,9
6895,4
6896,5
6897,4
6898,5
6899,7
6900,3
6901,5
6902,7
6903,2
6904,0
6905,4
6906,2
6907,7
6908,0
6909,5
6910,3
6911,9
6912,5
6913,7
6914,3
6915,5
6916,8
6917,2
6918,3
6919,2
6920,4
6921,6
6922,1
6923,2
6924,5
6925,4
6926,0
6927,6
6928,4
6929,4
6930,9
6931,9
6932,9
6933,2
6934,1
6935,0
6936,5
6937,4
6938,3
6939,9
6940,9
6941,7
6942,0
6943,1
6944,4
6945,1
6946,5
6947,7
6948,4
6949,1
6950,1
6951,0
6952,8
6953,1
6954,8
6955,3
6956,7
6957,0
6958,3
6959,0
6960,8
6961,3
6962,2
6963,3
6964,0
6965,5
6966,6
6967,7
6968,3
6969,5
6970,3
6971,8
6972,6
6973,6
6974,5
6975,5
6976,3
6977,6
6978,1
6979,5
6980,8
6981,3
6982,1
6983,3
6984,1
6985,1
6986,3
6987,4
6988,9
6989,5
6990,0
6991,0
6992,5
6993,7
6994,3
6995,8
6996,7
6997,0
6998,7
6999,8
7000,5
7001,3
7002,4
7003,5
7004,0
7005,6
7006,3
7007,2
7008,1
7009,3
7010,7
7011,5
7012,1
7013,5
7014,2
7015,7
